مــــ,الجامعة,اسم الجامعة,نوع البند,تصنيف البند,العام الدراسي,قيمة البند,العملة
1,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,136٬580٫05,SYP
2,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,165٬936٫77,SYP
3,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,55٬765٫00,SYP
4,القلمون,جامعة القلمون الخاصة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,107٬689٬088٫00,SYP
5,القلمون,جامعة القلمون الخاصة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,192٬213٬252٫00,SYP
6,القلمون,جامعة القلمون الخاصة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,"250,427,245",SYP
7,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,131٬980٬484٫00,SYP
8,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,"148,272,336",SYP
9,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,"107,056,603",SYP
10,القلمون,جامعة القلمون الخاصة,مصروفات,ضرائب,العام الدراسي 23 - 24,"7,549,209",SYP
11,القلمون,جامعة القلمون الخاصة,مصروفات,ضرائب,العام الدراسي 24 - 25,"10,457,490",SYP
12,القلمون,جامعة القلمون الخاصة,مصروفات,ضرائب,العام الدراسي 25 - 26,"12,205,215",SYP
13,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 23 - 24,0٫00,USD
14,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 24 - 25,0٫00,USD
15,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات رأسمالية,العام الدراسي 25 - 26,141٬360٫00,USD
16,القلمون,جامعة القلمون الخاصة,مصروفات,رواتب وأجور,العام الدراسي 23 - 24,91٬350٫00,USD
17,القلمون,جامعة القلمون الخاصة,مصروفات,رواتب وأجور,العام الدراسي 24 - 25,81٬875٫00,USD
18,القلمون,جامعة القلمون الخاصة,مصروفات,رواتب وأجور,العام الدراسي 25 - 26,98٬016٫00,USD
19,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 23 - 24,8٬438٫00,USD
20,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 24 - 25,152٬954٫00,USD
21,القلمون,جامعة القلمون الخاصة,مصروفات,مصروفات تشغيلية,العام الدراسي 25 - 26,556٬463٫00,USD
22,القلمون,جامعة القلمون الخاصة,مصروفات,ضرائب,العام الدراسي 23 - 24,6٬570٫00,USD
23,القلمون,جامعة القلمون الخاصة,مصروفات,ضرائب,العام الدراسي 24 - 25,6٬339٫00,USD
24,القلمون,جامعة القلمون الخاصة,مصروفات,ضرائب,العام الدراسي 25 - 26,5٬829٫00,USD
25,القلمون,جامعة القلمون الخاصة,إيرادات,الأقساط,العام الدراسي 23 - 24,224٬082٬945٫00,SYP
26,القلمون,جامعة القلمون الخاصة,إيرادات,الأقساط,العام الدراسي 24 - 25,343٬896٬218٫60,SYP
27,القلمون,جامعة القلمون الخاصة,إيرادات,الأقساط,العام الدراسي 25 - 26,321٬512٬735٫00,SYP
28,القلمون,جامعة القلمون الخاصة,إيرادات,الكافيهات والأكشاك,العام الدراسي 23 - 24,0٫00,SYP
